,leiden_0.5,leiden_1,leiden_2,perturbation,UMAP1,UMAP2
E7.5:injection10:clone_775,2,1,1,Lrp2,11.964372,0.18823828
E7.5:injection10:clone_776,1,0,10,Fzd2,12.531449,6.0230436
E7.5:injection10:clone_777,0,2,6,EGFP-1,9.847831,11.172413
E7.5:injection10:clone_779,0,5,3,Fgfr1,6.744173,11.22906
E7.5:injection10:clone_780,2,1,1,Acvr2a,10.663742,0.88203526
E7.5:injection10:clone_781,1,0,9,Fzd2,13.199899,7.0075445
E7.5:injection10:clone_782,4,3,5,Acvr2a,12.563658,3.4852026
E7.5:injection10:clone_783,5,6,15,multi_gRNA,8.562249,4.7432456
E7.5:injection10:clone_784,2,1,1,Fgfr1,11.234991,0.49773616
E7.5:injection10:clone_786,1,0,11,Lgr4,14.18395,7.2346225
E7.5:injection10:clone_787,6,7,8,Lgr4,-0.9853028,1.892742
E7.5:injection10:clone_788,4,3,5,Acvr2a,12.575687,4.331013
E7.5:injection10:clone_793,2,1,1,Lrp2,10.610197,1.2871162
E7.5:injection10:clone_794,0,2,6,multi_gRNA,11.01143,10.258285
E7.5:injection10:clone_795,4,3,5,EGFP-1,12.798271,6.233582
E7.5:injection10:clone_796,2,1,1,Lrp2,11.013429,1.5484573
E7.5:injection10:clone_797,1,0,2,Fzd2,12.846565,8.703618
E7.5:injection10:clone_798,4,3,5,Lrp2,12.699945,3.8371415
E7.5:injection10:clone_801,0,5,3,EGFP-1,6.657076,11.172174
E7.5:injection10:clone_802,4,3,13,Lgr4,13.583376,4.9916034
E7.5:injection10:clone_803,0,2,6,Lgr4,10.510369,10.103244
E7.5:injection10:clone_808,1,0,11,Lgr4,14.062839,8.339301
E7.5:injection10:clone_809,4,3,5,multi_gRNA,13.298204,4.919251
E7.5:injection10:clone_810,0,2,6,Acvr2a,10.595886,10.848544
E7.5:injection10:clone_812,4,3,5,Lrp2,12.302825,4.4908648
E7.5:injection10:clone_813,4,3,5,Acvr2a,12.795265,5.7656307
E7.5:injection10:clone_814,1,0,11,Lgr4,14.344832,8.227985
E7.5:injection10:clone_815,6,7,8,Lgr4,-1.0949739,1.9945266
E7.5:injection10:clone_816,0,2,6,Fgfr1,10.291043,10.467041
E7.5:injection10:clone_817,1,0,2,multi_gRNA,12.219812,9.054087
E7.5:injection10:clone_818,1,0,11,Lrp2,13.667199,7.0767117
E7.5:injection10:clone_819,0,2,7,Lgr4,9.110997,12.0545435
E7.5:injection10:clone_821,0,2,7,Lgr4,9.740532,10.601115
E7.5:injection10:clone_822,0,5,3,Fzd2,7.1915855,11.778622
E7.5:injection10:clone_823,1,0,2,Fgfr1,12.235018,8.230454
E7.5:injection10:clone_824,1,0,11,Fzd2,14.712174,7.0536776
E7.5:injection10:clone_826,4,3,5,EGFP-1,12.406104,4.3175893
E7.5:injection10:clone_828,4,3,5,Lgr4,12.640595,4.570643
E7.5:injection10:clone_831,0,2,7,Lgr4,9.775996,10.819863
E7.5:injection10:clone_833,2,1,1,Fgfr1,12.4922495,-0.028319012
E7.5:injection10:clone_834,0,2,6,Fgfr1,10.843651,10.234362
E7.5:injection10:clone_835,1,0,9,Acvr2a,13.712862,8.226919
E7.5:injection10:clone_837,1,0,11,Lgr4,14.225406,6.7155266
E7.5:injection10:clone_841,0,5,3,EGFP-1,7.0296817,11.49886
E7.5:injection10:clone_843,1,0,2,Lgr4,13.160008,8.789512
E7.5:injection10:clone_846,5,8,4,Acvr2a,8.519972,1.2953002
E7.5:injection10:clone_847,0,2,7,EGFP-1,9.168238,11.218516
E7.5:injection10:clone_848,4,3,13,Lrp2,14.17365,3.8800573
E7.5:injection10:clone_850,6,7,8,Lgr4,-0.6935266,1.6696419
E7.5:injection10:clone_851,0,5,3,EGFP-1,8.050498,11.616644
E7.5:injection10:clone_854,3,4,12,Fgfr1,-2.5780761,6.7460527
E7.5:injection10:clone_857,4,3,5,EGFP-1,13.448544,5.620678
E7.5:injection10:clone_858,5,6,15,Fzd2,8.980392,3.9974792
E7.5:injection10:clone_859,0,2,6,Fgfr1,9.941082,9.865608
E7.5:injection10:clone_86,4,3,5,Lrp2,12.317841,3.8735359
E7.5:injection10:clone_860,0,5,3,Acvr2a,7.315456,11.47674
E7.5:injection10:clone_865,4,3,5,Lgr4,13.131546,5.32689
E7.5:injection10:clone_869,1,0,10,Lrp2,12.74783,6.751302
E7.5:injection10:clone_870,1,0,9,Acvr2a,13.031368,6.9307246
E7.5:injection10:clone_871,4,3,13,Fgfr1,13.513024,4.239462
E7.5:injection10:clone_872,6,7,8,Lrp2,-0.68006635,1.5764945
E7.5:injection10:clone_873,0,2,6,multi_gRNA,10.203883,10.563462
E7.5:injection10:clone_874,2,1,0,Acvr2a,10.826436,0.010080256
E7.5:injection10:clone_875,2,1,1,Acvr2a,11.320352,1.5749445
E7.5:injection10:clone_877,4,3,5,Lrp2,13.107308,5.4451723
E7.5:injection10:clone_878,0,2,7,multi_gRNA,10.095391,11.4141035
E7.5:injection10:clone_879,1,0,9,Acvr2a,13.895632,6.062667
E7.5:injection10:clone_880,1,0,2,Fzd2,12.809709,8.443945
E7.5:injection10:clone_881,4,3,5,Fzd2,12.064398,4.579501
E7.5:injection10:clone_882,0,5,3,Acvr2a,6.665407,11.278266
E7.5:injection10:clone_883,1,0,2,Acvr2a,12.1405,8.733199
E7.5:injection10:clone_884,4,3,5,EGFP-1,12.240238,3.6977603
E7.5:injection10:clone_889,0,11,16,Lgr4,8.2651205,10.251783
E7.5:injection10:clone_890,0,5,3,Acvr2a,6.78958,11.13334
E7.5:injection10:clone_891,1,0,11,multi_gRNA,14.172091,8.441258
E7.5:injection10:clone_892,2,1,1,Acvr2a,10.84647,1.0719093
E7.5:injection10:clone_893,4,3,13,Lrp2,13.622266,3.7471814
E7.5:injection10:clone_894,2,1,0,EGFP-1,11.837623,-0.53948873
E7.5:injection10:clone_898,1,0,11,EGFP-1,11.3433485,6.752411
E7.5:injection10:clone_899,1,0,10,Fzd2,11.800657,6.8956323
E7.5:injection10:clone_900,2,1,0,Acvr2a,11.87977,-0.11696993
E7.5:injection10:clone_901,0,2,7,Acvr2a,9.773844,11.174401
E7.5:injection10:clone_902,0,2,7,EGFP-1,9.808234,11.726703
E7.5:injection10:clone_903,4,3,13,EGFP-1,14.019309,3.5431507
E7.5:injection10:clone_905,2,1,1,Lrp2,11.950098,0.7289326
E7.5:injection10:clone_908,4,3,13,Acvr2a,14.107484,4.0663543
E7.5:injection10:clone_910,5,8,4,Lrp2,8.284015,2.3519757
E7.5:injection10:clone_912,2,1,0,Lrp2,11.734027,-1.3307331
E7.5:injection10:clone_913,1,0,9,Fzd2,13.823766,6.7237115
E7.5:injection10:clone_914,4,3,13,Lrp2,14.071207,3.684592
E7.5:injection10:clone_915,6,7,8,Lrp2,-0.47749084,0.9676119
E7.5:injection10:clone_916,2,1,0,Fgfr1,11.997316,-0.33405593
E7.5:injection10:clone_917,0,2,7,Fgfr1,9.297205,11.596869
E7.5:injection10:clone_919,0,2,6,Fzd2,10.64098,10.152778
E7.5:injection10:clone_920,1,0,2,Acvr2a,12.777966,8.130169
E7.5:injection10:clone_922,0,5,3,Fgfr1,7.10064,11.358787
E7.5:injection10:clone_923,0,2,7,Lgr4,8.887997,11.363321
E7.5:injection10:clone_925,1,0,11,EGFP-1,13.983948,8.195208
E7.5:injection10:clone_926,0,2,7,Lgr4,10.205646,11.492851
E7.5:injection10:clone_927,1,0,2,Acvr2a,13.211951,7.783289
E7.5:injection10:clone_929,1,0,9,Acvr2a,13.641311,6.7213244
E7.5:injection10:clone_930,1,0,9,EGFP-1,13.468784,8.390243
